process_run_id,taxid,sciname,rank,read_count,abundance
CI19_taxclass,59732,Chryseobacterium,G,96387,0.976645
CI19_taxclass,1241978,Chryseobacterium bernardetii,S,64885,0.657449
CI19_taxclass,1609531,Chryseobacterium rhizoplanae,S,12473,0.126383
CI19_taxclass,878220,Chryseobacterium sp. StRB126,S,857,0.008684
CI19_taxclass,3386644,Chryseobacterium sp. MMS23-Vi53,S,421,0.004266
CI19_taxclass,3139392,Chryseobacterium sp. Chry.R1,S,215,0.002178
CI19_taxclass,2487063,Chryseobacterium sp. G0162,S,200,0.002027
CI19_taxclass,1033900,Chryseobacterium sp. PMSZPI,S,105,0.001064
CI19_taxclass,3116594,Chryseobacterium sp. CP-77,S,97,0.000983
CI19_taxclass,3415265,Chryseobacterium sp. CBSDS_008,S,90,0.000912
CI19_taxclass,2879938,Chryseobacterium sp. MEBOG06,S,85,0.000861
CI19_taxclass,2966625,Chryseobacterium sp. MA9,S,85,0.000861
CI19_taxclass,3138177,Chryseobacterium sp. POE27,S,77,0.00078
CI19_taxclass,3094839,Chryseobacterium sp. HR92,S,76,0.00077
CI19_taxclass,2920939,Chryseobacterium sp. Y16C,S,63,0.000638
CI19_taxclass,2487064,Chryseobacterium sp. G0186,S,60,0.000608
CI19_taxclass,3400631,Chryseobacterium sp. PTM-20240506,S,55,0.000557
CI19_taxclass,2478663,Chryseobacterium sp. 3008163,S,47,0.000476
CI19_taxclass,3093923,Chryseobacterium sp. JJR-5R,S,46,0.000466
CI19_taxclass,2487065,Chryseobacterium sp. G0201,S,39,0.000395
CI19_taxclass,1721091,Chryseobacterium sp. IHB B 17019,S,39,0.000395
CI19_taxclass,3416668,Chryseobacterium sp. R2ACT005,S,39,0.000395
CI19_taxclass,2745153,Chryseobacterium sp. MYb264,S,37,0.000375
CI19_taxclass,2015076,Chryseobacterium sp. T16E-39,S,37,0.000375
CI19_taxclass,2879939,Chryseobacterium sp. MEBOG07,S,36,0.000365
CI19_taxclass,3231511,Chryseobacterium sp. KCF3-3,S,33,0.000334
CI19_taxclass,3074145,Chryseobacterium sp. SG20098,S,26,0.000263
CI19_taxclass,3459744,Chryseobacterium sp. CT-SW4,S,23,0.000233
CI19_taxclass,3031803,Chryseobacterium sp. WX,S,19,0.000193
CI19_taxclass,2856522,Chryseobacterium sp. D764,S,15,0.000152
CI19_taxclass,3379128,Chryseobacterium sp. M5,S,12,0.000122
CI19_taxclass,2825845,Chryseobacterium sp. PCH239,S,11,0.000111
CI19_taxclass,2893882,Chryseobacterium sp. C-71,S,11,0.000111
CI19_taxclass,3404064,Chryseobacterium sp. S-02,S,10,0.000101
CI19_taxclass,2713414,Chryseobacterium sp. POL2,S,6,6.1e-05
CI19_taxclass,2039166,Chryseobacterium sp. 6424,S,2,2e-05
CI19_taxclass,2838877,Chryseobacterium sp. ZHDP1,S,1,1e-05
CI19_taxclass,1932669,Chryseobacterium sp. JV274,S,1,1e-05
CI19_taxclass,253,Chryseobacterium indologenes,S,762,0.007721
CI19_taxclass,651561,Chryseobacterium arthrosphaerae,S,719,0.007285
CI19_taxclass,250,Chryseobacterium gleum,S,410,0.004154
CI19_taxclass,2759528,Chryseobacterium capnotolerans,S,382,0.003871
CI19_taxclass,1813611,Chryseobacterium cucumeris,S,230,0.00233
CI19_taxclass,1265445,Chryseobacterium camelliae,S,197,0.001996
CI19_taxclass,1241982,Chryseobacterium nakagawai,S,149,0.00151
CI19_taxclass,112234,Chryseobacterium joostei,S,128,0.001297
CI19_taxclass,2997336,Chryseobacterium wangxinyae,S,121,0.001226
CI19_taxclass,1324352,Chryseobacterium gallinarum,S,105,0.001064
CI19_taxclass,1241981,Chryseobacterium lactis,S,104,0.001054
CI19_taxclass,246,Chryseobacterium balustinum,S,90,0.000912
CI19_taxclass,373672,Chryseobacterium gambrini,S,81,0.000821
CI19_taxclass,2983606,Chryseobacterium fluminis,S,60,0.000608
CI19_taxclass,2497456,Chryseobacterium aureum,S,58,0.000588
CI19_taxclass,1124835,Chryseobacterium carnipullorum,S,57,0.000578
CI19_taxclass,2864040,Chryseobacterium chendengshani,S,55,0.000557
