assembly_id,gene,annotation_source,annotation_method
ASM5082198v1,aadS,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5082198v1,adeF,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5082198v1,blaCIA-4,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5082198v1,blaIND-2,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5082198v1,blaOXA-347,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5082198v1,ermF,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5082198v1,qacG,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5082198v1,tetX,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5082198v1,vanT,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5070351v1,aadS,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5070351v1,adeF,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5070351v1,blaCIA-4,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5070351v1,blaIND-2,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5070351v1,blaOXA-347,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5070351v1,ermF,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5070351v1,qacG,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5070351v1,tetX,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
ASM5070351v1,vanT,Comprehensive Antibiotic Resistance Database (CARD) v4.0.1,ResFinder 4.1
